Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
--	–	Oblonsky made a face at these words, thereby indicating that it is not right to form an opinion prematurely, and did not reply.	— Sissignore.	Stepan Arkadjewitsch erinnerte sich an einen Scherz, den er einmal über diesen pünktlichen, kahlköpfigen Uhrmacher gemacht hatte:
Довольно будет?	Si me lo permite, mandaré a buscar a mi hermano, señora ––dijo–.	'Who was it came in?' he asked the door-keeper.	Stepan Arkad’ic infilò la pelliccia e uscì fuori.	dieser Deutsche sei wohl selbst einmal für das ganze Leben aufgezogen worden, um Uhren aufzuziehen.
-- Довольно ли.	Si no, tendré que preparar yo la comida, no sea que los niños se queden sin comer hasta las seis de la tarde, como ayer.	'Some man came in without permission, your Excellency, when I wasn't looking.	— Non pranzerete a casa?	Und diese Erinnerung entlockte ihm ein Lächeln.
не довольно, видно обойтись надо, -- сказал Матвей, захлопывая дверку и отступая на крыльцо.	–	He asked for you.	— chiese Matvej, accompagnandolo.	Stepan Arkadjewitsch liebte einen guten Witz.
Дарья Александровна между тем, успокоив ребенка и по звуку кареты поняв, что он уехал, вернулась опять в спальню.	Ahora salgo y miraré lo que se haya de hacer.	"I told him, ""When the Members come out, then..."" -'"	— Non so, come capiterà.	›Vielleicht renkt es sich wieder ein!
Это было единственное убежище ее от домашних забот, которые обступали ее, как только она выходила.	¿Habéis enviado por leche fresca?	'Where is he?'	Ecco, prendi per la spesa — disse dandogli dieci rubli dal portafoglio.	Ein hübscher Ausdruck das: Es renkt sich wieder ein‹, dachte er.
Уже и теперь, в то короткое время, когда она выходила в детскую, англичанка и Матрена Филимоновна успели сделать ей несколько вопросов, не терпевших отлагательства и на которые она одна могла ответить: что надеть детям на гулянье?	Y Daria Alejandrovna, sumiéndose en las preocupaciones cotidianas, ahogó en ellas momentáneamente su dolor.	'Perhaps he has gone out into the hall; he was walking about there just now.	— Basta?	›Den muß ich weitererzählen.‹
давать ли молоко?	V	That's him,' said the door-keeper pointing to a strongly-built broad-shouldered man with a curly beard, who, without taking off his sheep-skin cap, was running lightly and quickly up the worn steps of the stone staircase.	— Basti o non basti, ci si deve rigirare — rispose Matvej, sbattendo lo sportello e indietreggiando verso l’ingresso.	»Matwei!« rief er und trug ihm auf, als er erschien:
не послать ли за другим поваром?	Aunque nada tonto, Esteban Arkadievich era perezoso y travieso, por lo que salió del colegio figurando entre los últimos.	A lanky official, going down with a portfolio, stopped, with a disapproving look at the feet of the man running upstairs, and then glanced inquiringly at Oblonsky, who was standing at the top of the stairs.	Dar’ja Aleksandrovna intanto, acquietato il bambino e capito, dal rumore della carrozza, ch’egli se n’era andato, tornò di nuovo in camera.	»Richte also mit Marja alles im Fremdenzimmer für Anna Arkadjewna her!«
-- Ах, оставьте, оставьте меня! -- сказала она и, вернувшись в спальню, села опять на то же место, где она говорила с мужем, сжав исхудавшие руки с кольцами, спускавшимися с костлявых пальцев, и принялась перебирать в воспоминании весь бывший разговор.	Con todo, pese a su vida de disipación, a su modesto grado y a su poca edad, ocupaba el cargo de presidente de un Tribunal público de Moscú.	His kindly face, beaming over the gold-embroidered collar of his uniform, grew still more radiant when he recognized the man who was coming up.	Era l’unico suo rifugio dalle cure familiari che la opprimevano non appena ne usciva fuori.	»Zu Befehl.«
"""Уехал!"	Había obtenido aquel empleo gracias a la influencia del marido de su hermana Ana, Alexis Alejandrovich Karenin, que ocupaba un alto cargo en el Ministerio del que dependía su oficina.	'Yes, it's he!	E anche ora, in quei pochi momenti che aveva passato nella camera dei bambini, la governante inglese e Matrëna Filimonovna si erano affrettate a farle alcune domande che non ammettevano indugio e alle quali solo lei poteva rispondere:	Stepan Arkadjewitsch zog seinen Pelz an und trat vor den Hauseingang hinaus.
Но чем же кончил он с нею? -- думала она.	Pero aunque Karenin no le hubiera colocado en aquel puesto, Esteban Arkadievich, por mediación de un centenar de personas, hermanos o hermanas, primos o tíos, habría conseguido igualmente aquel cargo a otro parecido que le permitiese ganar los seis mil rublos anuales que le eran precisos, dada la mala situación de sus negocios, aun contando con los bienes que poseía su mujer.	Levin, at last!' he said, scrutinizing the approaching Levin with a friendly mocking smile.	cosa mettere indosso ai bambini per andare a spasso, dare o no il latte, mandare a chiamare oppure no un altro cuoco.	»Werden Sie zu Hause speisen?« fragte Matwei, der ihn hinausbegleitete.
--	La mitad de la gente de posición de Moscú y San Petersburgo eran amigos o parientes de Esteban Arkadievich.	'How is it you deign to look me up in this den?' he asked; and not contented with pressing his friend's hand, he kissed him.	— Ah, lasciatemi, lasciatemi!	»Ich weiß noch nicht.
Неужели он видает ее?	Nació en el ambiente de los poderosos de este mundo.	'Been here long?'	— aveva detto e, tornata in camera, si era seduta di nuovo là dove aveva parlato col marito, stringendo le mani smagrite con gli anelli che scivolavano dalle dita ossute, e aveva cominciato a ripensare a tutto il colloquio avvenuto.	Wie es sich gerade machen wird.
Зачем я не спросила его?	Una tercera parte de los altos funcionarios, los antiguos, habían sido amigos de su padre y le conocían a él desde la cuna.	'I've only just arrived, and am very anxious to see you,' answered Levin, looking round with constraint, and yet crossly and uneasily.	«È andato via.	Aber hier nimm das für Auslagen«, sagte er und händigte ihm aus seiner Brieftasche zehn Rubel ein.
Нет, нет, сойтись нельзя.	Con otra tercera parte se tuteaba, y la parte restante estaba compuesta de conocidos con los que mantenía cordiales relaciones.	'Well then, come into my room,' said Oblonsky, who knew his friend's self-conscious and irritable shyness; and seizing him by the arm he led him along as if past some danger.	Ma l’ha finita poi con quella?	»Wird es reichen?«
Если мы и останемся в одном доме -- мы чужие.	De modo que los distribuidores de los bienes terrenales –como cargos, arrendamientos, concesiones, etcétera–	Oblonsky was on intimate terms with almost all his acquaintances, men of sixty and lads of twenty, actors, Ministers of State, tradesmen, and Lords in Waiting, so that a great many people on familiar terms with him stood at the two extremes of the social ladder and would have been much surprised to know that they had something in common through Oblonsky.	Possibile che la veda ancora?	»Es läßt sich vorher nicht sagen;
"Навсегда чужие!"" -- повторила она опять с особенным значением это страшное для нее слово."	eran amigos o parientes y no habían de dejar en la indigencia a uno de los suyos.	He was on familiar terms with everybody he drank champagne with, and he drank champagne with everybody.	Perché non gliel’ho chiesto?	jedenfalls werde ich es einzurichten suchen«, erwiderte Matwei, schlug den Kutschenschlag zu und trat auf die Stufen vorm Haustor zurück.
"""А как я любила, боже мой, как я любила его!.."	Así, para obtener un buen puesto, Oblonsky no necesitó esforzarse mucho.	But when in the presence of his subordinates he happened to meet any of his 'disreputable pals,' as he jocularly called them, he was able, with his innate tact, to minimize the impression such a meeting might leave on their minds.	No, no, non ci si può riunire.	Darja Alexandrowna hatte unterdessen das Kind beruhigt, und als sie an dem Geräusche des Wagens merkte, daß ihr Mann weggefahren sei, kehrte sie in das Schlafzimmer zurück.
Как я любила!	Le bastó no contradecir, no envidiar, no disputar, no enojarse, todo lo cual le era fácil gracias a la bondad innata de su carácter.	Levin was not a 'disreputable pal,' but Oblonsky felt that Levin imagined he might not care to show their intimacy in the presence of the subordinates, and that was why he hurried him into his private room.	E anche se dovessimo restare nella stessa casa, saremmo estranei.	Dies war immer ihre Zuflucht vor den häuslichen Sorgen;
И теперь разве я не люблю его?	Le habría parecido increíble no encontrar un cargo con la retribución que necesitaba, sobre todo no ambicionando apenas nada: sólo lo que habían obtenido otros amigos de su edad y que estuviera al alcance de sus aptitudes.	Levin and Oblonsky were almost of the same age; and with Levin, Oblonsky was on familiar terms not through champagne only.	Per sempre estranei!	sobald sie diese Zuflucht verließ, stürmten die Sorgen stets wieder von allen Seiten auf sie ein.
Не больше ли, чем прежде, я люблю его?	Los que le conocían, no sólo apreciaban su carácter jovial y bondadoso y su indiscutible honradez, sino que se sentían inclinados hacia él incluso por su arrogante presencia, sus brillantes ojos, sus negras cejas y su rostro blanco y sonrosado.	Levin had been his comrade and friend in early youth, and they were fond of one another as friends who have come together in early youth often are, in spite of the difference in their characters and tastes.	— ripeté di nuovo, e con particolare significato, questa parola per lei terribile.	Auch jetzt, während sie die paar Minuten im Kinderzimmer gewesen war, hatten die Engländerin und Matrona Filimonowna die Gelegenheit benutzt, um ihr verschiedene Fragen vorzulegen, die keinen Aufschub duldeten und die sie allein entscheiden konnte: Was die Kinder zum Spaziergang anziehen sollten.
"Ужасно, главное, то..."" -- начала она, но не докончила своей мысли, потому что Матрена Филимоновна высунулась из двери."	Cuando alguno le encontraba exteriorizaba en seguida su contento: «¡Aquí esta Stiva Oblonsky!», exclamaba al verle aparecer, casi siempre sonriendo con jovialidad.	Yet, as often happens between men who have chosen different pursuits, each, while in argument justifying the other's activity, despised it in the depth of his heart.	— E come l’ho amato, Dio mio, come l’ho amato!	Ob sie Milch bekommen sollten.
-- Уж прикажите за братом послать, -- сказала она, -- все он изготовит обед; а то, по-вчерашнему, до шести часов дети не евши.	Y, si bien después de una conversación con él no se producía ninguna especial satisfacción, las gentes, un día y otro, cuando le veían, volvían a acogerle con idéntico regocijo.	Each thought that his own way of living was real life, and that the life of his friend was – illusion.	E ora, non l’amo forse?	Ob ein anderer Koch zur Aushilfe angenommen werden solle.
-- Ну, хорошо, я сейчас выйду и распоряжусь.	En los tres años que llevaba ejerciendo su cargo en Moscú, Esteban Arkadievich había conseguido, no sólo atraerse el afecto, sino el respeto de compañeros, subordinados, jefes y de cuantos le trataban.	Oblonsky could not repress a slightly sarcastic smile at the sight of Levin.	Non l’amo forse più di prima?	»Ach, laßt mich, laßt mich!« antwortete sie, kehrte in das Schlafzimmer zurück und setzte sich auf denselben Platz, auf dem sie mit ihrem Manne gesprochen hatte;
Да послали ли за свежим молоком?	Las principales cualidades que le hacían ser respetado en su oficina eran, ante todo, su indulgencia con los demás –basada en el reconocimiento de sus propios defectos– y, después, su sincero liberalismo.	How many times he had already seen him arriving in Moscow from the country, where he did something, though what it was Oblonsky could never quite understand or feel any interest in.	È terribile, soprattutto il fatto che...» cominciò, ma non finì il pensiero, che già Matrëna Filimonovna si era affacciata alla porta.	sie preßte die abgemagerten Hände zusammen, an denen ihr die Ringe von den knochigen Fingern zu gleiten drohten, und ging in der Erinnerung das ganze vorhergehende Gespräch noch einmal durch.
И Дарья Александровна погрузилась в заботы дня и потопила в них на время свое горе.	No aquel liberalismo de que hablaban los periódicos, sino un liberalismo que llevaba en la sangre, y que le hacía tratar siempre del mismo modo a todos, sin distinción de posiciones y jerarquías, y finalmente –y era ésta la cualidad principal– la perfecta indiferencia que le inspiraba su cargo, lo que le permitía no entusiasmarse demasiado con él ni cometer errores.	Levin came to Moscow always excited, always in a hurry, rather shy and irritated by his own shyness, and usually with totally new and unexpected views about things.	— Su via, mandate a chiamare mio fratello — disse — almeno preparerà il pranzo;	›Er ist weggefahren!
V	Entrando en su oficina, Oblonsky pasó a su pequeño gabinete particular, seguido del respetuoso conserje, que le llevaba la cartera.	Oblonsky laughed at all this, and yet liked it.	se no, come ieri, fino alle sei i bambini non avran mangiato.	Aber wie mag er
Степан Аркадьич в школе учился хорошо благодаря своим хорошим способностям, но был ленив и шалун и потому вышел из последних; но, несмотря на свою всегда разгульную жизнь, небольшие чины и нестарые годы, он занимал почетное и с хорошим жалованьем место начальника в одном из московских присутствий.	Se vistió allí el uniforme y entró en el despacho.	Similarly, Levin in his heart despised the town life his friend was leading, and his official duties which he considered futile and ridiculed.	— Va bene, vengo, vengo a dare gli ordini.	sich mit dieser Person auseinandergesetzt haben?‹
Место это он получил чрез мужа сестры Анны, Алексея Александровича Каренина, занимавшего одно из важнейших мест в министерстве, к которому принадлежало присутствие; но если бы Каренин не назначил своего шурина на это место, то чрез сотню других лиц, братьев, сестер, родных, двоюродных, дядей, теток, Стива Облонский получил бы это место или другое подобное, тысяч в шесть жалованья, которые ему были нужны, так как дела его.	Los escribientes y oficiales se pusieron en pie, saludándole con jovialidad y respeto.	But the difference was that Oblonsky, doing as every one else did, laughed with confidence and good humour, while Levin laughed uncertainly and sometimes angrily.	Non hanno mandato a prendere il latte fresco?	dachte sie.
несмотря на достаточное состояние жены, были расстроены.	Como de costumbre, Esteban Arkadievich estrechó las manos a los miembros del Tribunal y se sentó en su puesto.	'We have long been expecting you,' said Oblonsky entering his private room and releasing Levin's arm, as if to show that here all danger was past.	E Dar’ja Aleksandrovna s’ingolfò nelle cure del giorno, e per un po’ sommerse in esse la sua pena.	›Ob er sie wohl noch besucht?
Половина Москвы и Петербурга была родня и приятели Степана Аркадьича.	Bromeó y charló un rato, no más de lo conveniente, y comenzó a trabajar.	'I'm very, very glad to see you!' continued he.	V	Warum habe ich ihn nicht danach gefragt?
Он родился в среде тех людей, которые были и стали сильными мира сего.	Nadie mejor que él sabía deslindar los límites de la llaneza oportuna y la seriedad precisa para hacer agradable y eficaz el trabajo.	'Well, how are you, eh?	Stepan Arkad’ic a scuola aveva studiato bene, grazie alle sue buone capacità, ma, pigro e svagato, aveva finito gli studi tra gli ultimi.	Nein, nein, eine Aussöhnung ist unmöglich.
"Одна треть государственных людей, стариков, были приятелями его отца и знали его в рубашечке; другая треть были с ним на ""ты"", а третья треть были хорошие знакомые; следовательно, раздаватели земных благ в виде мест, аренд, концессий и тому подобного были все ему приятели и не могли обойти своего; и Облонскому не нужно было особенно стараться, чтобы получить выгодное место; нужно было только не отказываться, не завидовать, не ссориться, не обижаться, чего он, по свойственной ему доброте, никогда и не делал."	El secretario se acercó con los documentos del día, y le habló con el tono de familiaridad que introdujera en la oficina el propio Esteban Arkadievich.	When did you arrive?'	Tuttavia, pur conducendo una vita sempre scapestrata, in età ancor giovane, con un titolo modesto, aveva ottenuto il posto ragguardevole e ben retribuito di capo di uno degli uffici amministrativi di Mosca.	Und selbst wenn wir in demselben Hause bleiben, so werden wir doch einander fremd sein.
Ему бы смешно показалось, если б ему сказали, что он не получит места с тем жалованьем, которое ему нужно, тем более что он и не требовал чего-нибудь чрезвычайного; он хотел только того, что получали его сверстники, а исполнять такого рода должность мог он не хуже всякого другого.	–	Levin looked silently at the faces of the two strangers, Oblonsky's colleagues, and especially at the hands of the elegant Grinevich, who had such long white fingers and such long yellowish nails curving at the points, and such large glittering sleeve-links, that evidently his hands occupied his whole attention and deprived him of freedom of thought.	Aveva avuto questo posto per mezzo del marito di Anna, Aleksej Aleksandrovic Karenin, il quale occupava uno dei più alti gradi nel ministero a cui apparteneva l’ufficio;	Fremd für immer!‹
Степана Аркадьича не только любили все знавшие его за его добрый, веселый нрав и несомненную честность, но в нем, в его красивой, светлой наружности, блестящих глазах, черных бровях, волосах, белизне и румянце лица, было что-то, физически действовавшее дружелюбно и весело на людей, встречавшихся с ним.	Al fin hemos recibido los datos que necesitábamos de la administración provincial de Penza.	Oblonsky at once noticed Levin's look and smiled.	ma se Karenin non avesse designato suo cognato a quel posto, Stiva Oblonskij, per mezzo di un centinaio di alti personaggi, fratelli, sorelle, prozii, zii, zie, avrebbe avuto quel posto o altro equivalente con quei seimila rubli di stipendio che gli erano necessari, perché i suoi affari, malgrado la considerevole proprietà della moglie, andavano male.	Auf dieses ihr so furchtbare Wort kam sie immer wieder mit besonderem Nachdruck zurück.
"""Ага!"	Aquí están.	'Oh, of course! Let me introduce you,' he said.	Una buona metà della società di Mosca e Pietroburgo era in relazioni di parentela o di amicizia con Stepan Arkad’ic.	›Und wie habe ich ihn geliebt, o mein Gott, wie habe ich ihn geliebt, wie habe ich ihn geliebt! –
Стива!	Con su permiso...	'My colleagues: Philip Ivanich Nikitin; Michael Stanislavich Grinevich.'	Egli era nato nella cerchia di coloro che erano o erano in seguito diventati i potenti di quel mondo.	Und liebe ich ihn denn nicht auch jetzt noch?
Облонский!	–	Then turning to Levin, 'Constantine Dmitrich Levin, an active member of the Zemstvo, one of the new sort – a gymnast who lifts a hundredweight and a half with one hand, a cattle-breeder, a sportsman, – my friend, and a brother of Sergius Ivanich Koznyshev.'	Un terzo dei funzionari di stato, i vecchi, erano amici di suo padre e lo avevano visto nascere;	Liebe ich ihn nicht noch mehr als früher?
"Вот и он!"" -- почти всегда с радостною улыбкой говорили, встречаясь с ним."	¿Conque ya se recibieron? –exclamó Esteban Arkadievich, poniendo la mano sobre ellos–.	'Very pleased...' said the old official..	un altro terzo gli davano del «tu» e un terzo ancora erano suoi buoni conoscenti.	Das Schrecklichste ist ...‹ Aber sie beendete diesen angefangenen Gedanken nicht, da Matrona Filimonowna durch die Tür hereinblickte.
Если и случалось иногда, что после разговора с ним оказывалось, что ничего особенно радостного не случилось, -- на другой день, на третий опять точно так же все радовались при встрече с ним.	¡Ea, señores!	'I have the honour of knowing your brother, Sergius Ivanich,' said Grinevich, holding out his narrow hand with the long fingernails.	Pertanto, i dispensatori di beni terreni sotto forma di posti, appalti, concessioni e cose simili, erano tutti amici suoi e non avrebbero mai lasciato fuori uno dei loro.	»Gestatten Sie doch, daß ich meinen Bruder holen lasse«, sagte sie.
Занимая третий год место начальника одного из присутственных мест в Москве, Степан Аркадьич приобрел, кроме любви, и уважение сослуживцев, подчиненных, начальников и всех, кто имел до него дело.	Y la oficina en pleno comenzó a trabajar.	Levin frowned, shook hands coldly, and immediately turned to Oblonsky.	Così Oblonskij non aveva dovuto brigare per ottenere un posto vantaggioso;	»Der kann das Mittagessen herrichten;
Главные качества Степана Аркадьича, заслужившие ему это общее уважение по службе, состояли, во-первых, в чрезвычайной снисходительности к людям, основанной в нем на сознании своих недостатков; во-вторых, в совершенной либеральности, не той, про которую он вычитал в газетах, но той, что у него была в крови и с которою он совершенно равно и одинаково относился ко всем людям, какого бы состояния и звания они ни были, и, в-третьих, -- главное -- в совершенном равнодушии к тому делу, которым он занимался, вследствие чего он никогда не увлекался и не делал ошибок.	"«¡Si ellos supieran», pensaba, mientras, con aire grave, escuchaba el informe, « qué aspecto de chiquillo travieso cogido en falta tenía media hora antes su ""presidente de Tribunal""!» Y sus ojos reían mientras escuchaba la lectura del expediente."	Though Levin had great respect for his step-brother, an author known throughout Russia, he hated to be regarded not as Constantine Levin but as a brother of the famous Koznyshev.	gli era bastato non rifiutare, non avere invidie, non leticare, non offendersi, cose tutte ch’egli neppure faceva per quella bonarietà che gli era propria.	sonst bekommen die Kinder wieder wie gestern bis sechs Uhr nichts zu essen.«
Приехав к месту своего служения, Степан Аркадьич, провожаемый почтительным швейцаром, с портфелем прошел в свой маленький кабинет, надел мундир и вошел в присутствие.	El trabajo duraba hasta las dos, en que se abría una tregua para el almuerzo.	'No, I am no longer on the Zemstvo – I have quarrelled with the lot of them, and don't attend their meetings any more,' said he, addressing his friend.	Gli sarebbe parso ridicolo se gli avessero detto che non avrebbe ottenuto un posto retribuito con lo stipendio che gli era necessario, dal momento che non pretendeva niente di eccezionale, ma voleva solo quello che avevano gli altri suoi coetanei quando, non peggio di chiunque altro, egli era in grado di adempiere una funzione di tal genere.	»Nun gut, ich komme gleich und werde alles, was nötig ist, anordnen.
Писцы и служащие все встали, весело и почтительно кланяясь.	Poco antes de aquella hora, las grandes puertas de la sala se abrieron de improviso y alguien penetró en ella.	'Quick work!' said Oblonsky, with a smile.	A Stepan Arkad’ic volevano bene tutti quelli che lo conoscevano non solo per quel suo carattere buono e gioviale e per la sua indubbia onestà, ma perché in quel suo bell’aspetto luminoso, negli occhi splendenti, nelle sopracciglia e nei capelli neri, nel colorito bianco e rosso del viso vi era qualcosa che agiva in modo cordiale e festoso sul fisico delle persone che lo incontravano.	Ist
Степан Аркадьич поспешно, как всегда, прошел к своему месту, пожал руки членам и сел.	Los miembros del tribunal, sentados bajo el retrato del Emperador y los colocados bajo el zérzalo4, miraron hacia la puerta, satisfechos de aquella diversión inesperada.	'What was it all about?'	«Oh, Stiva!	nach frischer Milch ge schickt?«
Он пошутил и поговорил, ровно сколько это было прилично, и начал занятия.	Pero el ujier hizo salir en seguida al recién llegado y cerró trás él la puerta vidriera.	'It's a long story – I'll tell you some other time,' said Levin, but at once began telling it.	Oblonskij!	Und Darja Alexandrowna versenkte sich in die Sorgen des Tages und betäubte dadurch für einige Zeit ihren Gram.
Никто вернее Степана Аркадьича не умел найти ту границу свободы, простоты и официальности, которая нужна для приятного занятия делами.	Una vez examinado el expediente, Oblonsky se levantó, se desperezó y, rindiendo tributo al liberalismo de los tiempos que corrían, encendió un cigarrillo en plena sala del consejo y se dirigó a su despacho.	'To put it in a nutshell, I have come to the conclusion that there is, and can be, no such thing as Zemstvo work,' he said, speaking as if some one had just offended him.	Eccolo!» dicevano quasi sempre con un sorriso di gioia, incontrandolo.	5.
Секретарь весело и почтительно, как и все в присутствии Степана Аркадьича, подошел с бумагами и проговорил тем фамильярно-либеральным тоном, который введен был Степаном Аркадьичем:	Sus dos amigos, el veterano empleado Nikitin y el gentilhombre de cámara Grinevich, le siguieron.	'On the one hand it's simply playing!	E anche se talvolta ci si rendeva conto che, dopo una conversazione con lui, non succedeva nulla di particolarmente gioioso, l’indomani, due giorni dopo, tutti di nuovo si rallegravano nell’incontrarlo, proprio allo stesso modo.	Stepan Arkadjewitsch hatte in der Schule dank seinen trefflichen Fähigkeiten gut gelernt, war aber träge und ausgelassen gewesen und infolgedessen bei der Entlassung in der Rangordnung einer der letzten geworden;
--	–Después de comer tendremos tiempo de terminar el asunto –dijo Esteban Arkadievich.	They play at being a parliament, and I am neither young enough nor old enough to amuse myself with toys.	Occupando già da tre anni il posto di capo di uno degli uffici amministrativi di Mosca, Stepan Arkad’ic aveva conquistato, oltre la simpatia, la stima dei colleghi, dei dipendenti, dei superiori, e di tutti coloro che avevano a che fare con lui.	aber trotz seinem allzeit lockeren Lebenswandel, trotz der Kürze seiner Dienstzeit und trotz seinem verhältnismäßig jugendlichen Lebensalter bekleidete er die angesehene, gut besoldete Stellung des Direktors einer Moskauer Verwaltungsbehörde.
Мы таки добились сведения из Пензенского губернского правления.	–Naturalmente –afirmó Nikitin.	On the other hand...' he hesitated, 'it is a means of getting pelf for the provincial coterie!	Le principali qualità che gli procuravano la stima generale in ufficio consistevano, in primo luogo, in una straordinaria indulgenza verso gli altri, basata sulla coscienza dei propri difetti;	Diesen Posten hatte er durch Alexei Alexandrowitsch Karenin, den Gatten seiner Schwester Anna, erhalten, der eine der höchsten Stellen in dem Ministerium einnahm, dem jene Behörde unterstellt war.
Вот, не угодно ли...	–¡Ese Fomin debe de ser un pillo redomado! –dijo Grinevich refiriéndose a uno de los que estaban complicados en el expediente que tenían en estudio.	We used to have guardianships and judgeships as soft jobs, and now we've Zemstvos – not bribes, but unearned salaries!'	in secondo luogo, in un grande liberalismo, non quello di cui leggeva nei giornali, ma quello ch’egli aveva nel sangue e che gli faceva trattare perfettamente allo stesso modo tutte le persone, di qualunque classe o condizione fossero;	Aber auch wenn Karenin seinen Schwager nicht in diese Stelle gebracht hätte, so würde Stiwa Oblonski doch durch hundert andere Personen, durch Brüder, Schwestern, Vettern, Onkel und Tanten, diese oder eine andere, ähnliche Stelle mit etwa sechstausend Rubeln Gehalt bekommen haben;
-- Получили наконец? -- проговорил Степан Аркадьич, закладывая пальцем бумагу.	Oblonsky hizo una mueca, como para dar a entender a Grinevich que no era conveniente establecer juicios anticipados, y no contestó.	he went on as warmly as if he had just been contradicted.	e in terzo luogo, e questa era la cosa più importante, in un’assoluta indifferenza verso gli affari che trattava, per cui non se ne appassionava mai e non commetteva errori.	und eine solche Einnahme brauchte er recht nötig, da seine Geldverhältnisse trotz dem bedeutenden Vermögen seiner Frau sich in arger Zerrüttung befanden.
-- Ну-с, господа... --	–¿Quién era el que entró mientras trabajábamos? –preguntó al ujier.	'Aha! I see you've reached another new phase – a Conservative one this time!' said Oblonsky.	Arrivato in ufficio, Stepan Arkad’ic, accompagnato da un usciere ossequioso che gli portava la cartella, passò nel suo gabinetto particolare, indossò la divisa ed entrò in aula.	Halb Moskau und Petersburg war mit Stepan Arkadjewitsch verwandt oder befreundet.
И присутствие началось.	–	'However, we'll talk about that later.'	Gli scrivani e gli impiegati si alzarono tutti, salutandolo con rispetto e giovialità.	Er war mitten unter den Leuten geboren, die die Mächtigen dieser Welt waren oder wurden.
Если б они знали, -- думал он, с значительным видом склонив голову при слушании доклада, -- каким виноватым мальчиком полчаса тому назад был их председатель! --	Uno que lo hizo sin permiso, Excelencia, aprovechando un descuido mío.	'Yes, later!...	Stepan Arkad’ic, in fretta come sempre, andò al proprio posto, strinse la mano ai colleghi e sedette.	Ein Drittel der hohen Regierungsbeamten, die älteren Männer, waren Freunde seines Vaters gewesen und hatten ihn noch im Kinderkleidchen gekannt;
И глаза его смеялись при чтении доклада...	Preguntó por usted.	But I want to see you,' said Levin, gazing with aversion at Grinevich's hand.	Scherzò e discorse proprio quel tanto che era conveniente, e cominciò il lavoro.	das zweite Drittel stand mit ihm auf du und du; und das dritte waren gute Bekannte.
До двух часов занятия должны были идти не прерываясь, а в два часа -- перерыв и завтрак.	Le dije que hasta que no salieran los miembros del Tribunal...	Oblonsky's smile was hardly perceptible.	Nessuno più di Stepan Arkad’ic sapeva con maggiore precisione il limite tra la cordialità confidenziale e il tono ufficiale, così necessario al piacevole disbrigo degli affari.	Somit waren die Verteiler irdischer Güter, als da sind Ämter, Pachtungen, Konzessionen und dergleichen, sämtlich mit ihm befreundet und konnten ihn als einen der Ihrigen nicht übergehen;
Еще не было двух часов, когда большие стеклянные двери залы присутствия вдруг отворились, и кто-то вошел.	–¿Dónde está?	'Didn't you tell me you would never again put on Western European clothes?' he asked, surveying Levin's new suit, evidently made by a French tailor.	Il segretario, con giovialità e rispetto, come del resto tutti nell’ufficio di Stepan Arkad’ic, gli si accostò con alcune carte e riferì con quel tono familiarmente libero che era stato introdotto da Stepan Arkad’ic.	und Oblonski brauchte sich nicht sonderlich zu bemühen, um eine einträgliche Stelle zu erhalten;
Все члены из-под портрета и из-за зерцала, обрадовавшись развлечению, оглянулись на дверь; но сторож, стоявший у двери, тотчас же изгнал вошедшего и затворил за ним стеклянную дверь.	–	'That's it!	— Siamo riusciti così ad avere notizie dell’amministrazione provinciale di Penza.	er brauchte eine solche nur nicht auszuschlagen, sich nicht mißgünstig zu zeigen, sich mit niemandem zu überwerfen, sich nicht gekränkt zu fühlen, was er auch sowieso zufolge der ihm eigenen Gutmütigkeit niemals tat.
Когда дело было прочтено, Степан Аркадьич встал, потянувшись, и, отдавая дань либеральности времени, в присутствии достал папироску и пошел в свой кабинет.	Debe de haberse ido a la antesala.	You're in a new phase.'	Ecco, non vi piacerebbe...	Es wäre ihm lächerlich erschienen, wenn man ihm gesagt hätte, er würde keine Stelle mit einem Gehalte, wie er es brauchte, erlangen, um so mehr, da er nichts Außerordentliches beanspruchte;
Два товарища его, старый служака Никитин и камер-юнкер Гриневич, вышли с ним.	No lo podía sacar de aquí.	Levin suddenly blushed, not as grown-up people blush who hardly notice it themselves, but as boys blush who are aware that their shyness is ridiculous and therefore feel ashamed of it and blush still more, almost to tears.	— Le avete avute finalmente — prese a dire Stepan Arkad’ic, fermando col dito la carta.	er wollte nur das, was seine Standesgenossen meist erlangten, und einen derartigen Posten konnte er ebensogut ausfüllen wie jeder andere.
--	¡Ah, es ése! –dijo el ujier, señalando a un individuo de buena figura, ancho de espaldas, con la barba rizada, el cual, sin quitarse el gorro de piel de camero, subía a toda prisa la desgastada escalinata de piedra.	It was so strange to see that intelligent manly face in such a childish condition that Oblonsky left off looking at him.	— Allora, signori... — E la seduta cominciò.	Stepan Arkadjewitsch war nicht nur bei allen, die ihn kannten, wegen seines gutmütigen, heiteren Charakters und seiner unzweifelhaften Ehrenhaftigkeit beliebt, sondern in seinem ganzen Wesen, in seiner schönen, glänzenden Erscheinung, den blitzenden Augen, den schwarzen Brauen und Haaren, dem frischen, gesunden Gesicht lag etwas, was schon durch die rein physische Wirkung alle, die mit ihm in Berührung kamen, für ihn einnahm und in eine fröhliche Stimmung versetzte. »Ah! Stiwa!
