ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
They all made a rush at Alice the moment she appeared; but she ran off as hard as she could, and soon found herself safe in a thick wood.	¡Ay, mi Dina, mi querida Dina!	— L'Aquilotto chinò la testa per nascondere un sorriso, ma alcuni degli uccelli si misero a sghignazzare sinceramente.	Oh, minha querida Diná!	La Souris dit d’une voix basse et tremblante :	Endlich war auch dies vollbracht, und Alle setzten sich im Kreis herum und drangen in das Mäuslein, noch etwas zu erzählen.
'The first thing I've got to do,' said Alice to herself, as she wandered about in the wood, 'is to grow to my right size again; and the second thing is to find my way into that lovely garden.	¡Me pregunto si volveré a verte alguna vez!	— Volevo dire, — continuò il Dronte, offeso, — che il miglior modo di asciugarsi sarebbe di fare una corsa scompigliata.	Me pergunto se eu a verei novamente!'.	« Gagnons la rive, je vous conterai mon histoire, et vous verrez pourquoi je hais les chats et les chiens. »	»Du hast mir deine Geschichte versprochen,« sagte Alice »und woher es kommt, daß du K. und H. nicht leiden kannst
I think that will be the best plan.'	Y la pobre Alicia se echó a llorar de nuevo, porque se sentía muy sola y muy deprimida.	—	E aqui a pobre Alice começou a chorar de novo, pois se sentia muito sozinha e desanimada.	Il était grand temps de s’en aller, car la mare se couvrait d’oiseaux et de toutes sortes d’animaux qui y étaient tombés.	,« fügte sie leise hinzu, um nur das niedliche Tierchen nicht wieder böse zu machen.
It sounded an excellent plan, no doubt, and very neatly and simply arranged; the only difficulty was, that she had not the smallest idea how to set about it; and while she was peering about anxiously among the trees, a little sharp bark just over her head made her look up in a great hurry.	Al poco rato, sin embargo, volvió a oír un ruidito de pisadas a lo lejos y levantó la vista esperanzada, pensando que a lo mejor el Ratón había cambiado de idea y volvía atrás para terminar su historia.	Che è la corsa scompigliata?	Algum tempo depois, porém, ela ouviu de novo um barulhinho de passos ao longe, e ela olhou avidamente, meio que esperando que o Rato tivesse mudado de idéia e estivesse voltando para terminar sua história.	Il y avait un canard, un dodo, un lory, un aiglon, et d’autres bêtes extraordinaires.	»Ach,« seufzte das Mäuslein, »ihr macht euch ja aus meinem Erzählen doch nichts;
An enormous puppy was looking down at her with large round eyes, and feebly stretching out one paw, trying to touch her.	Capítulo 4 LA CASA DEL CONEJO	— domandò Alice.	Capítulo IV	Alice prit les devants, et toute la troupe nagea vers la rive.	ich bin euch mit meiner Geschichte zu langschwänzig und zu tragisch.«
'Poor little thing!' said Alice, in a coaxing tone, and she tried hard to whistle to it; but she was terribly frightened all the time at the thought that it might be hungry, in which case it would be very likely to eat her up in spite of all her coaxing.	Era el Conejo Blanco, que volvía con un trotecillo saltarín y miraba ansiosamente a su alrededor, como si hubiera perdido algo.	Non le premeva molto di saperlo, ma il Dronte taceva come se qualcheduno dovesse parlare, mentre nessuno sembrava disposto ad aprire bocca o becco.	O Coelho envia o pequeno Bill	CHAPITRE III.	Dabei sah sie Alice fragend an. »
Hardly knowing what she did, she picked up a little bit of stick, and held it out to the puppy; whereupon the puppy jumped into the air off all its feet at once, with a yelp of delight, and rushed at the stick, and made believe to worry it; then Alice dodged behind a great thistle, to keep herself from being run over; and the moment she appeared on the other side, the puppy made another rush at the stick, and tumbled head over heels in its hurry to get hold of it; then Alice, thinking it was very like having a game of play with a cart-horse, and expecting every moment to be trampled under its feet, ran round the thistle again; then the puppy began a series of short charges at the stick, running a very little way forwards each time and a long way back, and barking hoarsely all the while, till at last it sat down a good way off, panting, with its tongue hanging out of its mouth, and its great eyes half shut.	Y Alicia oyó que murmuraba: --¡La Duquesa! ¡La Duquesa!	— Ecco, — disse il Dronte, — il miglior modo di spiegarla è farla.	Era o Coelho Branco, trotando vagarosamente de volta, e olhando ansiosamente em volta enquanto ia, como se tivesse perdido alguma coisa; e ela o ouviu murmurando para si mesmo '	LA COURSE COCASSE.	Langschwänzig!
This seemed to Alice a good opportunity for making her escape; so she set off at once, and ran till she was quite tired and out of breath, and till the puppy's bark sounded quite faint in the distance.	¡Oh, mis queridas patitas !	— (E siccome vi potrebbe venire in mente di provare questa corsa in qualche giorno d'inverno, vi dirò come la diresse il Dronte.	A Duquesa!	Ils formaient une assemblée bien grotesque ces êtres singuliers réunis sur le bord de la mare ;	das muß wahr sein!« rief Alice und sah nun erst mit rechter Bewunderung auf den geringelten Schwanz der Maus hinab; »aber wie so tragisch?
'And yet what a dear little puppy it was!' said Alice, as she leant against a buttercup to rest herself, and fanned herself with one of the leaves: 'I should have liked teaching it tricks very much, if--if I'd only been the right size to do it!	¡Oh, mi piel y mis bigotes !	)	A Duquesa!	les uns avaient leurs plumes tout en désordre, les autres le poil plaqué contre le corps.	was trägst du denn?«
Oh dear!	¡Me hará ejecutar, tan seguro como que los grillos son grillos !	Prima tracciò la linea dello steccato, una specie di circolo, (— che la forma sia esatta o no, non importa, — disse) e poi tutta la brigata entrò nello steccato disponendosi in questo o in quel punto.	Oh minhas queridas patas!	Tous étaient trempés, de mauvaise humeur, et fort mal à l’aise.	Während sie noch darüber nachsann, fing die langschwänzige Erzählung schon an, folgendergestalt: Filax sprach zu der Maus, die er traf in dem Haus:
I'd nearly forgotten that I've got to grow up again!	¿Dónde demonios puedo haberlos dejado caer?	Non si udì:	Oh meu pelo e bigodes!	« Comment faire pour nous sécher ?	»Geh' mit mir vor Gericht, daß ich dich verklage.
Let me see--how is it to be managed?	¿Dónde?	— Uno, due tre... via!	Ela vai mandar me executar, é tão certo quanto furões são furões!	»	Komm und wehr' dich nicht mehr;
I suppose I ought to eat or drink something or other; but the great question is, what?'	¿Dónde?	'ma tutti cominciarono a correre a piacere;	Onde eu posso tê-los deixado cair?	ce fut la première question, cela va sans dire.	ich muß haben ein Verhör, denn ich habe nichts zu tun schon zwei Tage.«
The great question certainly was, what?	Alicia comprendió al instante que estaba buscando el abanico y el par de guantes blancos de cabritilla, y llena de buena voluntad se puso también ella a buscar por todos lados, pero no encontró ni rastro de ellos.	e si fermarono quando vollero, di modo che non si seppe quando la corsa fosse terminata.	'	Au bout de quelques instants, il sembla tout naturel à Alice de causer familièrement avec ces animaux, comme si elle les connaissait depuis son berceau.	Sprach die Maus zum Köter: »
Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances.	En realidad, todo parecía haber cambiado desde que ella cayó en el charco, y el vestíbulo con la mesa de cristal y la puertecilla habían desaparecido completamente.	A ogni modo, dopo che ebbero corso una mezz'ora o quasi, e si sentirono tutti bene asciugati, il Dronte esclamò:	Alice adivinhou logo que ele estava procurando pelo leque e pelo par de luvinhas de pelica, e de muito boa índole começou a procurar em volta por eles, mas eles não podiam ser vistos em parte alguma -- tudo parecia ter mudado desde seu mergulho na lagoa, e a grande sala, com a mesa de vidro e a portinha tinham sumido completamente.	Elle eut même une longue discussion avec le Lory, qui, à la fin, lui fit la mine et lui dit d’un air boudeur : « Je suis plus âgé que vous, et je dois par conséquent en savoir plus long.	Solch Verhör lieber Herr, ohne Richter, ohne Zeugen tut nicht Not.«
There was a large mushroom growing near her, about the same height as herself; and when she had looked under it, and on both sides of it, and behind it, it occurred to her that she might as well look and see what was on the top of it.	A los pocos instantes el Conejo descubrió la presencia de Alicia, que andaba buscando los guantes y el abanico de un lado a otro, y le gritó muy enfadado:	— La corsa è finita!	O Coelho logo notou Alice, enquanto ela ia procurando em volta, e gritou para ela com um tom raivoso, 'Bem, Mary Ann, o que você está fazendo por aqui?	»	»Ich bin Zeuge, ich bin Richter.«
She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else.	--¡Cómo, Mary Ann, qué demonios estás haciendo aquí!	— e tutti lo circondarono anelanti domandando:	Corra agora para casa, e traga-me um par de luvas e um leque!	Alice ne voulut pas accepter cette conclusion avant de savoir l’âge du Lory, et comme celui-ci refusa tout net de le lui dire, cela mit un terme au débat.	sprach er schlau und schnitt Gesichter »
CHAPTER V Advice from a Caterpillar	Corre inmediatamente a casa y tráeme un par de guantes y un abanico!	— Ma chi ha vinto?	Rápido, agora!	Enfin la Souris, qui paraissait avoir un certain ascendant sur les autres, leur cria : « Asseyez-vous tous, et écoutez-moi !	das Verhör leite ich und verdamme dich zum
The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.	¡Aprisa!	Per il Dronte non era facile rispondere, perciò sedette e restò a lungo con un dito appoggiato alla fronte (tale e quale si rappresenta Shakespeare nei ritratti), mentre gli altri tacevano.	' E Alice estava tão assustada que ela correu imediatamente na direção à qual ele apontou, sem tentar explicar o erro que ele tinha cometido.	Je vais bientôt vous faire sécher, je vous en réponds	Tod!
'Who are you?' said the Caterpillar.	Alicia se llevó tal susto que salió corriendo en la dirección que el Conejo le señalaba, sin intentar explicarle que estaba equivocándose de persona.	Finalmente il Dronte disse:	'Ele me tomou por sua arrumadeira,' ela disse para si mesma enquanto corria.	!	«
This was not an encouraging opening for a conversation.	--¡Me ha confundido con su criada! --se dijo mientras corría--.	— Tutti hanno vinto e tutti debbono essere premiati.	'	»	»Du paßt nicht auf!« sagte die Maus strenge zu Alice. »
Alice replied, rather shyly, 'I--I hardly know, sir, just at present-- at least I know who I was when I got up this morning, but I think I must have been changed several times since then.'	¡Vaya sorpresa se va a llevar cuando se entere de quién soy!	—.	Quão surpreso ele ficará quando descobrir quem eu sou!	Vite, tout le monde s’assit en rond autour de la Souris, sur qui Alice tenait les yeux fixés avec inquiétude, car elle se disait : « Je vais attraper un vilain rhume si je ne sèche pas bientôt	Woran denkst du?«
'What do you mean by that?' said the Caterpillar sternly.	Pero será mejor que le traiga su abanico y sus guantes...	Ma chi distribuirà i premi?	Mas seria melhor levar-lhe seu leque e luvas -- isto é, se eu conseguir encontrá-los.	.	»Ich bitte um Verzeihung,« sagte Alice sehr bescheiden:
'Explain yourself!'	Bueno, si logro encontrarlos.	— replicò un coro di voci.	' Assim que disse isso, ela chegou a uma elegante casinha, na porta da qual estava uma brilhante placa de latão com o nome 'C. Branco' gravado nela.	»	»du warst bis zur fünften Biegung gekommen, glaube ich?«
'I can't explain myself, I'm afraid, sir' said Alice, 'because I'm not myself, you see.	Mientras decía estas palabras, llegó ante una linda casita, en cuya puerta brillaba una placa de bronce con el nombre «C. BLANCO» grabado en ella.	— Lei, s'intende!	Ela entrou sem bater, e apressou-se para o andar superior, com muito medo para que ela não encontrasse a verdadeira Mary Ann, e fosse mandada para fora da casa antes de ter encontrado o leque e as luvas.	« Hum ! » fit la Souris d’un air d’importance ;	»Mitnichten!« sagte die Maus entschieden und sehr ärgerlich.
'	Alicia entró sin llamar, y corrió escaleras arriba, con mucho miedo de encontrar a la verdadera Mary Ann y de que la echaran de la casa antes de que hubiera encontrado los guantes y el abanico.	— disse il Dronte, indicando con un dito Alice.	'Que estranho parece,' disse Alice para si mesma, 'estar recebendo ordens de um coelho!	« êtes-vous prêts ?	»Nichten!« rief Alice, die gern neue Bekanntschaften machte, und sah sich neugierig überall um.
'I don't see,' said the Caterpillar.	--¡Qué raro parece --se dijo Alicia eso de andar haciendo recados para un conejo!	E tutti le si affollarono intorno;	Eu suponho que Diná estará me dando ordens a seguir!	Je ne sais rien de plus sec que ceci.	»O, wo sind sie, deine Nichten
'I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'	¡Supongo que después de esto Dina también me mandará a hacer sus recados! --Y empezó a imaginar lo que ocurriría en este caso: «¡Señorita Alicia, venga aquí inmediatamente y prepárese para salir de paseo!», diría la niñera, y ella tendría que contestar: «¡Voy en seguida! Ahora no puedo, porque tengo que vigilar esta ratonera hasta que vuelva Dina y cuidar de que no se escape ningún ratón»--.	gridando confusamente:	' E ela começou a imaginar o tipo de coisa que aconteceria: 'Senhorita Alice!	Silence dans le cercle, je vous prie.	?
'It isn't,' said the Caterpillar.	Claro que --siguió diciéndose Alicia--	— I premi! i premi!	Venha aqui imediatamente, e prepare-se para seu passeio!' '	« Guillaume le Conquérant, dont le pape avait embrassé le parti, soumit bientôt les Anglais, qui manquaient de chefs, et commençaient à s’accoutumer aux usurpations et aux conquêtes des étrangers.	Laß mich gehen und sie her holen!«
'Well, perhaps you haven't found it so yet,' said Alice; 'but when you have to turn into a chrysalis--you will some day, you know--and then after that into a butterfly, I should think you'll feel it a little queer, won't you?'	, si a Dina le daba por empezar a darnos órdenes, no creo que parara mucho tiempo en nuestra casa.	Alice non sapeva che fare, e nella disperazione si cacciò le mani in tasca, e ne cavò una scatola di confetti (per buona sorte non v'era entrata l'acqua,) e li distribuì in giro.	Em um minuto, ama!	Edwin et Morcar, comtes de Mercie et de Northumbrie	»Das werde ich schön bleiben lassen,« sagte die Maus, indem sie aufstand und fortging.
'Not a bit,' said the Caterpillar.	A todo esto, había conseguido llegar hasta un pequeño dormitorio, muy ordenado, con una mesa junto a la ventana, y sobre la mesa (como esperaba) un abanico y dos o tres pares de diminutos guantes blancos de cabritilla.	Ce n'era appunto uno per ciascuno.	Mas tenho que observar esse buraco de rato até Diná voltar, e ver que o rato não saiu.	—	»Deinen Unsinn kann ich nicht mehr mit anhören!«
'Well, perhaps your feelings may be different,' said Alice; 'all I know is, it would feel very queer to me.'	Cogió el abanico y un par de guantes, y, estaba a punto de salir de la habitación, cuando su mirada cayó en una botellita que estaba al lado del espejo del tocador.	— Ma dovrebbe esser premiata anche lei, — disse il Topo.	' 'Eu só não acho,' Alice continuou, 'que eles deixariam Diná ficar em casa se ela começasse a mandar nas pessoas assim!	»	»Ich meinte es nicht böse!« entschuldigte sich die arme Alice.
'You!' said the Caterpillar contemptuously.	Esta vez no había letrerito con la palabra «BEBEME», pero de todos modos Alicia lo destapó y se lo llevó a los labios.	Naturalmente, — soggiunse gravemente il Dronte;	'	»	»
'Who are you?'	--Estoy segura de que, si como o bebo algo, ocurrirá algo interesante --se dijo--.	— Che altro hai in tasca?	Neste instante ela tinha aberto caminho por um quartinho bem arrumado com uma mesa na janela, e sobre ela (como ela tinha esperado) um leque e dois ou três pares de luvinhas brancas de pelica: ela pegou o leque e um par das luvas, e já estava saindo do quarto, quando sua visão caiu sobre uma garrafinha que estava perto do espelho.	« Brrr, » fit le Lory, qui grelottait.	Aber du bist so sehr empfindlich, du!«
Which brought them back again to the beginning of the conversation.	Y voy a ver qué pasa con esta botella.	— chiese ad Alice.	Não havia etiqueta desta vez com as palavras 'BEBA-ME,' mas apesar disso ela a desenrolhou e a levou aos lábios.	« Pardon, » demanda la Souris en fronçant le sourcil, mais fort poliment, « qu’avez-vous dit ?	Das Mäuslein brummte nur als Antwort.
Alice felt a little irritated at the Caterpillar's making such very short remarks, and she drew herself up and said, very gravely, 'I think, you ought to tell me who you are, first.'	Espero que vuelva a hacerme crecer, porque en realidad, estoy bastante harta de ser una cosilla tan pequeñeja.	— Un ditale, rispose mestamente la fanciulla.	'Eu sei que alguma coisa interessante está com certeza para acontecer,' disse para si mesma, 'sempre que eu como ou bebo qualquer coisa: então eu já vou ver o que esta garrafa faz.	»	»Bitte, komm wieder, und erzähle deine Geschichte aus!«
'Why?' said the Caterpillar.	¡Y vaya si la hizo crecer!	Dài qui, — replicò il Dronte.	Eu realmente espero que ela me faça crescer, pois eu realmente estou completamente cansada de ser uma coisinha tão pequena!	« Moi ! rien, » répliqua vivement le Lory.	rief Alice ihr nach;
Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a very unpleasant state of mind, she turned away.	¡Mucho más aprisa de lo que imaginaba!	E tutti l'accerchiarono di nuovo, mentre il Dronte con molta gravità le offriva il ditale, dicendo:	'	« Ah ! je croyais, » dit la Souris.	und die Andern wiederholten im Chor: »ja bitte!«
'Come back!' the Caterpillar called after her.	Antes de que hubiera bebido la mitad del frasco, se encontró con que la cabeza le tocaba contra el techo y tuvo que doblarla para que no se le rompiera el cuello.	— La preghiamo di accettare quest'elegante ditale;	Ela realmente fez, e mais cedo do que ela esperava: antes que ela tivesse bebido metade da garrafa, ela sentiu sua cabeça apertando-se contra o teto, e teve que curvar-se para salvar seu pescoço de ser quebrado.	« Je continue.	aber das Mäuschen schüttelte unwillig mit dem Kopfe und ging schnell fort.
'I've something important to say!'	Se apresuró a soltar la botella, mientras se decía: --¡Ya basta!	— e tutti applaudirono a quel breve discorso.	Ela soltou a garrafa apressadamente, dizendo para si mesma 'É o suficiente -- Espero não crescer mais --	« Edwin et Morcar, comtes de Mercie et de Northumbrie, se déclarèrent en sa faveur, et Stigand, l’archevêque patriote de Cantorbery, trouva cela — » »	»Wie schade, daß es nicht bleiben wollte!« seufzte der Papagei, sobald es nicht mehr zu sehen war;
This sounded promising, certainly: Alice turned and came back again.	Espero que no seguiré creciendo...	Bisognava ora mangiare i confetti;	Como estou, eu não posso sair pela porta -- Eu realmente gostaria de não ter bebido tanto!'	« Trouva quoi ? » dit le Canard.	und eine alte Unke nahm die Gelegenheit wahr, zu ihrer Tochter zu sagen, »Ja, mein Kind!
'Keep your temper,' said the Caterpillar.	De todos modos, no paso ya por la puerta...	cosa che cagionò un po' di rumore e di confusione, perchè gli uccelli grandi si lagnavano che non avevano potuto assaporarli, e i piccoli, avendoli inghiottiti d'un colpo, corsero il rischio di strozzarsi e si dovè picchiarli sulla schiena.	Ai!	« Il trouva cela, » répondit la Souris avec impatience.	laß dir dies eine Lehre sein, niemals übler Laune zu sein!« »Halt den Mund, Mama !« sagte die junge Unke, etwas naseweis.
'Is that all?' said Alice, swallowing down her anger as well as she could.	¡Ojalá no hubiera bebido tan aprisa!	Ma anche questo finì, e sedettero in circolo pregando il Topo di dire qualche altra cosa.	Era muito tarde para desejar isso!	« Assurément vous savez ce que « cela » veut dire	»Wahrhaftig, du würdest die Geduld einer Auster erschöpfen!«
'No,' said the Caterpillar.	¡	— Ricordati che mi hai promesso di narrarmi la tua storia, — disse Alice, — e la ragione per cui tu odii i G. e i C., — soggiunse sommessamente, temendo di offenderlo di nuovo.	Ela continuou crescendo, e crescendo, e logo teve que se ajoelhar no chão:	.	»Ich wünschte, ich hätte unsere Dinah hier, das wünschte ich!«
Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing.	Por desgracia, era demasiado tarde para pensar en ello!	— La mia storia è lunga e triste e con la coda!	no momento seguinte não havia espaço suficiente para isso, e ela testou o resultado de deitar com um cotovelo contra a porta, e o outro braço enroscado em volta da cabeça dela.	»	sagte Alice laut, ohne Jemand insbesondere anzureden.
For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, 'So you think you're changed, do you?'	Siguió creciendo, y creciendo, y muy pronto tuvo que ponerse de rodillas en el suelo.	— rispose il Topo, sospirando.	Contudo ela continuou crescendo, e, como último recurso, colocou um braço para fora da janela, e um pé pela chaminé, e disse a si mesma 'Agora eu não posso fazer mais nada, aconteça o que acontecer.	« Je sais parfaitement ce que « cela » veut dire ;	»Sie würde sie bald zurückholen!«
'I'm afraid I am, sir,' said Alice; 'I can't remember things as I used--and I don't keep the same size for ten minutes together!'	Un minuto más tarde no le quedaba espacio ni para seguir arrodillada, y tuvo que intentar acomodarse echada en el suelo, con un codo contra la puerta y el otro brazo alrededor del cuello.	— Certo è una coda lunga, — disse Alice, guardando con meraviglia la coda del topo, — ma perchè la chiami trista? — E continuò a pensarci impacciata, mentre il Topo parlava.	O que será de mim?	par exemple : quand moi j’ai trouvé cela bon ;	»Und wer ist Dinah, wenn ich fragen darf?« sagte der Papagei.
'Can't remember what things?' said the Caterpillar.	Pero no paraba de crecer, y, como último recurso, sacó un brazo por la ventana y metió un pie por la chimenea, mientras se decía: --Ahora no puedo hacer nada más, pase lo que pase.	Così l'idea che ella si fece di quella storia con la coda fu press'a poco questa:	'	« cela » veut dire un ver ou une grenouille, » ajouta le Canard.	Alice antwortete eifrig, denn sie sprach gar zu gern von ihrem Liebling:
'Well, I've tried to say 'How doth the little busy bee,' but it all came different!' Alice replied in a very melancholy voice.	¿Qué va a ser de mí?	Furietta disse al Topo che avea sorpreso in casa:	Felizmente para Alice, a garrafinha mágica tinha agora tido todo o seu efeito, e ela não cresceu mais:	« Mais il s’agit de savoir ce que l’archevêque trouva.	»Dinah ist unsere Katze.
'Repeat, 'you are old, Father William,'' said the Caterpillar.	Por suerte la botellita mágica había producido ya todo su efecto, y Alicia dejó de crecer.	Andiamo in tribunale;	todavia estava muito desconfortável, e, como não parecia haver qualquer chance de ela algum dia sair do quarto de novo, não admira que ela ficou triste.	»	Und sie ist auch so geschickt im Mäusefangen, ihr könnt's euch gar nicht denken!
Alice folded her hands, and began:--	De todos modos, se sentía incómoda y, como no parecía haber posibilidad alguna de volver a salir nunca de aquella habitación, no es de extrañar que se sintiera también muy desgraciada.	per farti processare;	'Era muito mais agradável em casa,' pensou a pobre Alice, 'quando não se estava sempre crescendo e encolhendo, e sendo mandada por ratos e coelhos.	La Souris, sans prendre garde à cette question, se hâta de continuer.	Und ach, hättet ihr sie nur Vögel jagen sehen.
'You are old, Father William,' the young man said,	--Era mucho más agradable estar en mi casa --pensó la pobre Alicia--.	Non voglio le tue scuse, o Topo scellerato.	Eu quase queria não ter descido naquela toca de coelho -- e ainda -- e ainda-- é bastante curioso, sabe, este tipo de vida!	« « L’archevêque trouva cela de bonne politique d’aller avec Edgar Atheling à la rencontre de Guillaume, pour lui offrir la couronne.	Ich sage euch, sie frißt einen kleinen Vogel, so wie sie ihn zu Gesicht bekommt.«
'And your hair has become very white;	Allí, al menos, no me pasaba el tiempo creciendo y disminuyendo de tamaño, y recibiendo órdenes de ratones y conejos.	Quest'oggi non ho niente nel mio villin da fare.	Eu realmente imagino o que pode ter me acontecido!	Guillaume, d’abord, fut bon prince ;	Diese Mitteilung verursachte große Aufregung in der Gesellschaft.
And yet you incessantly stand on your head — Do you think, at your age, it is right?'	Casi preferiría no haberme metido en la madriguera del Conejo...	— Disse a Furietta il Topo:	Quando eu lia contos de fada, eu imaginava que aquele tipo de coisa nunca acontecesse, e agora cá estou no meio de um!	mais l’insolence des vassaux normands	Einige der Vögel machten sich augenblicklich davon;
'In my youth,' Father William replied to his son,	Y, sin embargo, pese a todo, ¡no se puede negar que este género de vida resulta interesante!	Ma come andare in Corte?	Deve haver um livro escrito sobre mim, isto deve!	— » Eh bien, comment cela va-t-il, mon enfant ?	eine alte Elster fing an, sich sorgfältig einzuwickeln, indem sie bemerkte: »Ich muß wirklich nach Hause gehen;
'I feared it might injure the brain;	¡Yo misma me pregunto qué puede haberme sucedido!	Senza giurati e giudici Sarebbe una vendetta!	E quando eu crescer, eu escreverei um -- mas eu estou crescida agora,' ela adicionou em tom pesaroso; 'ao menos não há mais espaço para crescer mais aqui.	» ajouta-t-elle	die Nachtluft ist nicht gut für meinen Hals!«
But, now that I'm perfectly sure I have none,	Cuando leía cuentos de hadas, nunca creí que estas cosas pudieran ocurrir en la realidad, ¡y aquí me tenéis metida hasta el cuello en una aventura de éstas!	Sarò giurato e giudice, rispose; Furietta, E passerò soffiando la tua sentenza a morte.	' 'Mas então,' pensou Alice, 'eu nunca ficarei mais velha do que estou agora?	en se tournant vers Alice.	und ein Kanarienvogel piepte zitternd zu seinen Kleinen, »Kommt fort, Kinder!
Why, I do it again and again.'	Creo que debiera escribirse un libro sobre mí, sí señor.	Tu non stai attenta!	Isto seria um alívio, por um lado -- nunca ser uma velha -- mas por outro -- sempre ter lições a aprender!	« Toujours aussi mouillée, » dit Alice tristement.	es ist die höchste Zeit für euch, zu Bett zu gehen!«
'You are old,' said the youth, 'as I mentioned before,	Y cuando sea mayor, yo misma lo escribiré...	— disse il Topo ad Alice severamente.	Oh, eu não gostaria disto!' 'Oh, sua tola Alice!' ela respondeu para si.	« Je ne sèche que d’ennui. »	Unter verschiedenen Entschuldigungen entfernten sie sich Alle, und Alice war bald ganz allein.
And have grown most uncommonly fat;	Pero ya no puedo ser mayor de lo que soy ahora --añadió con voz lúgubre—Al menos, no me queda sitio para hacerme mayor mientras esté metida aquí dentro ..	— A che cosa pensi?	'Como você pode aprender lições aqui?	« Dans ce cas, » dit le Dodo avec emphase, se dressant sur ses pattes, « je propose l’ajournement, et l’adoption immédiate de mesures énergiques.	»Hätte ich nur Dinah nicht erwähnt!« sprach sie bei sich mit betrübtem Tone. »
Yet you turned a back-somersault in at the door	Pero entonces, ¿es que nunca me haré mayor de lo que soy ahora?	— Scusami, — rispose umilmente Alice:	Bem, mal há lugar para você, e nenhum lugar para qualquer livro didático!	»	Niemand scheint sie gern zu haben, hier unten, und dabei ist sie doch die beste Katze von der Welt!
—	Por una parte, esto sería una ventaja, no llegaría nunca a ser una vieja, pero por otra parte ¡tener siempre lecciones que aprender!	— sei giunto alla quinta vertebra della coda, non è vero?	'	« Parlez français, » dit l’Aiglon ;	Oh, meine liebe Dinah!
Pray, what is the reason of that?'	¡Vaya lata!	— No, do...po, — riprese il Topo irato, scandendo le sillabe.	E então ela continuou, tomando primeiro um lado e depois o outro, e fazendo completamente uma conversação disto tudo;	« je ne comprends pas la moitié de ces grands mots, et, qui plus est, je ne crois pas que vous les compreniez vous-même	ob ich dich wohl je wieder sehen werde !«
'In my youth,' said the sage, as he shook his grey locks,	¡Eso si que no me gustaría nada!	— C'è un nodo?	mas após alguns minutos ela ouviu uma voz do lado de fora, e parou para ouvir.	.	dabei fing die arme Alice von Neuem zu weinen an, denn sie fühlte sich gar zu einsam und mutlos.
'I kept all my limbs very supple	¡Pero qué tonta eres, Alicia! --se rebatió a sí misma--.	— esclamò Alice sempre pronta e servizievole, e guardandosi intorno.	'Mary Ann!	»	Nach einem Weilchen jedoch hörte sie wieder ein Trappeln von Schritten in der Entfernung und blickte aufmerksam hin, halb in der Hoffnung, daß die Maus sich besonnen habe und zurückkomme, ihre Geschichte auszuerzählen.
By the use of this ointment--one shilling the box-	¿Cómo vas a poder estudiar lecciones metida aquí dentro?	— Ti aiuterò a scioglierlo!	Mary Ann!' disse a voz.	L’Aiglon baissa la tête pour cacher un sourire, et quelques-uns des autres oiseaux ricanèrent tout haut.	Viertes Kapitel.
Allow me to sell you a couple?'	Apenas si hay sitio para ti, ¡Y desde luego no queda ni un rinconcito para libros de texto!	— Niente affatto!	'Traga-me minhas luvas neste instante!	« J’allais proposer, » dit le Dodo d’un ton vexé, « une course cocasse ;	– Die Wohnung des Kaninchens.
'You are old,' said the youth, 'and your jaws are too weak	Y así siguió discurseando un buen rato, unas veces en un sentido y otras llevándose a sí misma la contraria, manteniendo en definitiva una conversación muy seria, como si se tratara de dos personas.	— rispose il Topo, levandosi e facendo l'atto di andarsene.	' Então veio um barulhinho de pés na escada.	c’est ce que nous pouvons faire de mieux pour nous sécher.	Es war das weiße Kaninchen, das langsam zurückgewandert kam, indem es sorgfältig beim Gehen umhersah, als ob es etwas verloren hätte, und sie hörte wie es für sich murmelte: »die Herzogin! die Herzogin!
For anything tougher than suet;	Hasta que oyó una voz fuera de la casa, y dejó de discutir consigo misma para escuchar.	Tu m'insulti dicendo tali sciocchezze!	Alice sabia que era o Coelho vindo procurá-la, e ela tremeu até sacudir a casa, esquecendo completamente que estava agora quase mil vezes maior que o Coelho, e não tinha nenhuma razão para ter medo dele.	»	Oh, meine weichen Pfoten!
Yet you finished the goose, with the bones and the beak—	--¡Mary Ann! ¡Mary Ann! --decía	—	Daí a pouco o Coelho subiu até a porta, e tentou abri-la;	« Qu’est-ce qu’une course cocasse ?	o mein Fell und Knebelbart!
